id,game_id,year,team_id,goals,result_id
202,6114,2014,12,4,1
203,6120,2014,12,2,1
204,6141,2014,12,1,1
205,6194,2014,12,1,2
206,6234,2013,12,2,2
207,6324,2013,12,4,1
208,6337,2013,12,4,1
209,6358,2013,12,1,2
210,6408,2013,12,4,1
211,6419,2013,12,0,2
212,6471,2013,12,1,3
213,6484,2013,12,4,2
214,6544,2013,12,0,2
215,6552,2013,12,2,2
216,6569,2013,12,1,2
217,6618,2013,12,3,2
218,6640,2013,12,3,2
219,6647,2013,12,1,2
220,6674,2013,12,0,2
221,6719,2013,12,1,2
222,6751,2013,12,1,2
223,6761,2013,12,2,2
224,6773,2013,12,3,1
225,6808,2013,12,4,1
226,6864,2013,12,4,1
227,6877,2013,12,3,2
228,6894,2013,12,1,2
229,6899,2013,12,1,2
230,6945,2012,12,2,2
231,6956,2012,12,4,1
232,6976,2012,12,2,2
233,7084,2012,12,4,1
234,7093,2012,12,1,2
235,7112,2012,12,2,1
236,7139,2012,12,1,2
237,7147,2012,12,4,1
238,7205,2012,12,1,2
239,7219,2012,12,3,2
240,7239,2012,12,0,2
241,7254,2012,12,5,1
242,7290,2012,12,5,1
243,7301,2012,12,1,2
244,7357,2012,12,1,2
245,7374,2012,12,4,3
246,7378,2012,12,2,2
247,7393,2012,12,2,2
248,7432,2012,12,3,1
249,7444,2012,12,2,4
250,7462,2012,12,1,2
251,7468,2012,12,3,3
252,7483,2012,12,3,2
253,7494,2012,12,1,2
254,7499,2012,12,0,2
255,7591,2012,12,1,2
256,7601,2012,12,2,4
257,7617,2012,12,6,1
258,7698,2012,12,2,2
259,7715,2012,12,4,1
260,7724,2012,12,1,3
261,7766,2012,12,2,3
262,7781,2012,12,1,1
263,7870,2012,12,4,1
264,7874,2012,12,2,2
265,7943,2012,12,4,1
266,7977,2012,12,1,2
267,8004,2012,12,1,3
268,8019,2012,12,2,2
269,8033,2012,12,1,2
270,8094,2012,12,2,3
271,8147,2011,12,0,2
272,8220,2011,12,1,1
273,8229,2011,12,2,2
274,8240,2011,12,6,1
275,8329,2011,12,1,2
276,8350,2011,12,4,1
277,8376,2011,12,4,2
278,8387,2011,12,3,2
279,8441,2011,12,4,3
280,8446,2011,12,1,2
281,8458,2011,12,1,2
282,8475,2011,12,3,4
283,8487,2011,12,1,2
284,8522,2011,12,3,4
285,8537,2011,12,2,2
286,8558,2011,12,1,2
287,8564,2011,12,2,2
288,8634,2011,12,1,2
289,8642,2011,12,1,2
290,8656,2011,12,3,4
291,8713,2011,12,2,1
292,8741,2011,12,1,2
293,8779,2011,12,5,2
294,8802,2011,12,3,1
295,8816,2011,12,2,4
296,8825,2011,12,4,3
297,8867,2011,12,4,4
298,8902,2011,12,3,4
299,8914,2011,12,4,1
300,8979,2011,12,2,2
301,8989,2011,12,9,1
302,9094,2011,12,6,1
303,9098,2011,12,4,2
304,9149,2011,12,4,4
305,9156,2011,12,0,2
306,9225,2011,12,4,3
307,9232,2011,12,1,2
308,9246,2011,12,3,2
309,9266,2011,12,5,4
310,9308,2011,12,3,1
311,9324,2011,12,2,1
312,9391,2010,12,4,1
313,9413,2010,12,4,4
