id,team_id,year,playoffs
1,23,2008,1
2,9,2008,1
3,25,2008,1
4,12,2008,1
5,14,2008,0
6,5,2008,1
7,27,2008,1
8,4,2008,1
9,26,2008,0
10,19,2008,0
11,7,2008,1
12,13,2008,0
13,22,2008,0
14,30,2008,0
15,20,2008,0
16,32,2008,1
17,24,2008,1
18,2,2008,0
19,15,2008,0
20,3,2008,0
21,31,2008,1
22,1,2008,1
23,11,2008,1
24,21,2008,0
25,6,2008,0
26,28,2008,1
27,10,2008,1
28,29,2008,1
29,8,2008,0
30,17,2008,0
31,9,2009,1
32,23,2009,1
33,12,2009,1
34,25,2009,1
35,14,2009,0
36,4,2009,1
37,5,2009,1
38,26,2009,0
39,27,2009,0
40,19,2009,0
41,7,2009,1
42,13,2009,1
43,22,2009,0
44,30,2009,0
45,20,2009,0
46,32,2009,1
47,2,2009,1
48,15,2009,1
49,3,2009,1
50,24,2009,0
51,6,2009,1
52,11,2009,1
53,31,2009,0
54,21,2009,0
55,1,2009,0
56,28,2009,1
57,10,2009,1
58,29,2009,0
59,8,2009,0
60,17,2009,0
61,9,2010,1
62,23,2010,1
63,12,2010,1
64,25,2010,0
65,14,2010,0
66,26,2010,1
67,27,2010,1
68,4,2010,1
69,5,2010,1
70,19,2010,0
71,7,2010,1
72,30,2010,0
73,13,2010,0
74,20,2010,0
75,22,2010,0
76,2,2010,1
77,32,2010,1
78,24,2010,1
79,3,2010,0
80,15,2010,0
81,6,2010,1
82,1,2010,1
83,11,2010,0
84,31,2010,0
85,21,2010,0
86,28,2010,1
87,8,2010,1
88,17,2010,1
89,10,2010,0
90,29,2010,0
91,12,2011,1
92,23,2011,1
93,25,2011,1
94,9,2011,0
95,14,2011,0
96,4,2011,1
97,5,2011,1
98,26,2011,1
99,19,2011,0
100,27,2011,0
101,7,2011,1
102,20,2011,1
103,13,2011,0
104,30,2011,0
105,22,2011,0
106,32,2011,1
107,24,2011,1
108,2,2011,1
109,3,2011,0
110,15,2011,0
111,6,2011,1
112,11,2011,0
113,31,2011,0
114,1,2011,0
115,21,2011,0
116,28,2011,1
117,10,2011,1
118,8,2011,1
119,17,2011,1
120,29,2011,0
121,25,2012,1
122,23,2012,1
123,12,2012,1
124,9,2012,1
125,14,2012,0
126,4,2012,1
127,27,2012,1
128,26,2012,0
129,19,2012,0
130,5,2012,0
131,22,2012,1
132,7,2012,1
133,20,2012,0
134,16,2012,0
135,13,2012,0
136,3,2012,1
137,24,2012,1
138,32,2012,1
139,2,2012,1
140,15,2012,0
141,6,2012,1
142,11,2012,0
143,1,2012,0
144,31,2012,0
145,21,2012,0
146,8,2012,1
147,28,2012,1
148,17,2012,1
149,29,2012,0
150,10,2012,0
151,23,2013,1
152,25,2013,1
153,14,2013,1
154,12,2013,0
155,9,2013,0
156,5,2013,1
157,4,2013,1
158,19,2013,1
159,27,2013,1
160,26,2013,0
161,7,2013,1
162,16,2013,0
163,13,2013,0
164,20,2013,0
165,22,2013,0
166,2,2013,1
167,3,2013,1
168,32,2013,1
169,15,2013,0
170,24,2013,0
171,6,2013,1
172,31,2013,1
173,21,2013,0
174,11,2013,0
175,1,2013,0
176,10,2013,1
177,17,2013,1
178,28,2013,1
179,8,2013,0
180,29,2013,0
181,4,2014,1
182,20,2014,1
183,5,2014,1
184,32,2014,1
185,27,2014,0
186,19,2014,0
187,22,2014,0
188,26,2014,0
189,23,2014,1
190,25,2014,1
191,12,2014,1
192,15,2014,1
193,7,2014,0
194,9,2014,0
195,13,2014,0
196,14,2014,0
197,1,2014,1
198,3,2014,1
199,2,2014,1
200,31,2014,1
201,29,2014,1
202,24,2014,0
203,16,2014,0
204,10,2014,1
205,28,2014,1
206,17,2014,1
207,8,2014,0
208,6,2014,0
209,11,2014,0
210,21,2014,0
211,5,2015,1
212,20,2015,1
213,32,2015,1
214,27,2015,1
215,4,2015,0
216,22,2015,0
217,19,2015,0
218,26,2015,0
219,25,2015,1
220,14,2015,1
221,7,2015,1
222,23,2015,1
223,15,2015,0
224,12,2015,0
225,9,2015,0
226,13,2015,0
227,3,2015,1
228,24,2015,1
229,2,2015,1
