id,wins,diff,strength,points,year,playoffs
1,14,-9,753,42,2009,0
2,22,43,719,50,2009,1
3,12,-19,774,33,2009,1
4,28,56,706,60,2009,1
5,19,23,699,52,2009,1
6,20,9,718,42,2009,1
7,25,18,674,55,2009,1
8,19,-16,761,41,2009,0
9,20,18,723,49,2009,1
10,18,3,760,45,2009,1
11,25,9,718,53,2009,1
12,20,13,704,48,2009,1
13,20,-10,701,44,2009,1
14,10,-42,758,26,2009,0
15,17,-5,755,39,2009,1
16,15,-11,780,36,2009,0
17,14,-25,716,34,2009,0
18,10,-26,739,27,2009,0
19,18,-10,745,41,2009,0
20,17,-3,714,40,2009,0
21,17,-1,723,41,2009,1
22,17,-15,788,38,2009,0
23,16,3,723,50,2009,1
24,17,5,733,45,2009,0
25,13,-22,753,31,2009,0
26,28,45,732,66,2009,1
27,15,-23,750,39,2009,0
28,11,-33,737,31,2009,0
29,17,6,766,42,2009,0
30,24,40,719,62,2009,1
