id,wins,diff,strength,points,year,playoffs
1,15,-6,725,45,2012,0
2,20,12,786,49,2012,1
3,24,18,702,48,2012,1
4,25,69,747,56,2012,1
5,15,-5,757,34,2012,0
6,24,35,728,50,2012,1
7,21,-1,736,44,2012,1
8,17,-5,728,41,2012,1
9,15,-3,781,47,2012,1
10,12,-31,729,28,2012,0
11,17,-14,740,39,2012,0
12,25,17,741,52,2012,1
13,13,-33,737,30,2012,0
14,12,-31,755,34,2012,0
15,8,-38,767,23,2012,0
16,19,-10,745,43,2012,0
17,17,-4,725,43,2012,1
18,18,2,738,45,2012,0
19,15,-28,750,35,2012,0
20,15,-8,724,32,2012,0
21,18,-8,732,44,2012,1
22,18,13,767,44,2012,1
23,19,-3,779,47,2012,1
24,25,32,737,55,2012,1
25,16,-14,774,39,2012,0
26,17,-9,751,45,2012,1
27,20,25,738,53,2012,1
28,21,-5,745,46,2012,0
29,17,-3,763,44,2012,0
30,25,40,720,53,2012,1
