id,wins,diff,strength,points,year,playoffs
1,20,1,751,46,2008,1
2,18,-4,782,40,2008,0
3,21,5,760,47,2008,0
4,20,0,757,44,2008,1
5,18,9,775,43,2008,1
6,22,15,753,46,2008,0
7,16,-15,725,35,2008,1
8,18,1,736,44,2008,0
9,21,4,748,48,2008,1
10,15,-11,796,39,2008,1
11,19,0,724,45,2008,1
12,22,15,738,45,2008,1
13,19,-6,722,42,2008,0
14,19,-16,765,43,2008,0
15,18,4,792,39,2008,0
16,13,-17,778,30,2008,0
17,15,-15,794,37,2008,0
18,13,-22,756,33,2008,0
19,7,-18,780,36,2008,0
20,16,-8,726,40,2008,0
21,17,6,754,47,2008,1
22,18,-8,779,40,2008,1
23,17,-1,746,42,2008,1
24,18,2,754,39,2008,0
25,26,32,746,55,2008,1
26,21,11,738,47,2008,1
27,19,19,761,49,2008,1
28,16,-20,730,40,2008,0
29,23,-4,743,46,2008,1
30,26,56,759,60,2008,1
