id,wins,diff,strength,points,year,playoffs
1,20,3,779,43,2016,0
2,23,15,808,52,2016,1
3,21,1,815,49,2016,1
4,19,14,740,46,2016,0
5,20,16,749,46,2016,0
6,13,-15,773,39,2016,0
7,29,43,766,64,2016,1
8,21,-9,808,45,2016,0
9,18,-3,783,41,2016,0
10,15,-21,805,39,2016,1
11,18,-20,742,39,2016,0
12,18,-16,773,42,2016,1
13,16,-20,741,38,2016,0
14,19,11,762,47,2016,1
15,13,-26,745,32,2016,0
16,19,-8,781,39,2016,0
17,24,18,789,53,2016,1
18,12,-10,746,35,2016,0
19,18,4,745,41,2016,1
20,14,-20,749,37,2016,0
21,20,26,740,53,2016,1
22,19,-3,768,42,2016,1
23,17,-4,825,44,2016,1
24,21,12,772,47,2016,1
25,14,-20,758,31,2016,0
26,16,-7,752,40,2016,0
27,20,5,779,44,2016,1
28,27,37,820,58,2016,1
29,22,13,790,51,2016,1
30,20,-4,759,47,2016,1
