id,wins,diff,strength,points,year,playoffs
1,21,11,777,46,2018,1
2,20,11,787,45,2018,0
3,22,17,773,50,2018,0
4,21,30,734,53,2018,1
5,15,-24,769,37,2018,0
6,16,-27,771,35,2018,0
7,22,11,746,52,2018,1
8,8,-52,778,22,2018,0
9,19,5,778,48,2018,1
10,17,-1,758,42,2018,1
11,19,-4,775,43,2018,0
12,18,-2,758,41,2018,1
13,16,-11,758,43,2018,0
14,18,-9,743,43,2018,0
15,19,0,761,46,2018,1
16,22,23,775,52,2018,1
17,22,28,754,53,2018,1
18,27,30,751,58,2018,1
19,21,15,729,47,2018,1
20,27,49,723,59,2018,1
21,17,-16,771,38,2018,0
22,15,-20,742,37,2018,0
23,18,-13,759,42,2018,1
24,21,16,753,50,2018,1
25,19,12,773,45,2018,0
26,10,-48,781,28,2018,0
27,13,-33,754,32,2018,0
28,20,5,783,48,2018,1
29,19,9,767,46,2018,0
30,20,5,774,46,2018,1
31,14,-15,774,40,2018,0
