id,wins,diff,strength,points,year,playoffs
1,13,-55,770,26,2017,0
2,22,12,751,52,2017,1
3,20,-6,727,46,2017,1
4,18,-3,748,43,2017,1
5,24,28,729,55,2017,1
6,16,-14,776,42,2017,0
7,26,34,762,55,2017,1
8,9,-41,774,31,2017,0
9,13,-26,789,38,2017,0
10,19,1,762,49,2017,1
11,19,-5,758,43,2017,1
12,17,-5,805,43,2017,0
13,17,-2,758,41,2017,0
14,15,-12,764,37,2017,0
15,27,47,748,61,2017,1
16,17,-9,789,40,2017,0
17,19,-3,724,41,2017,0
18,19,8,758,43,2017,1
19,17,-5,777,40,2017,0
20,19,9,748,46,2017,1
21,14,-18,785,37,2017,0
22,24,24,746,56,2017,1
23,17,3,790,40,2017,1
24,25,38,799,54,2017,1
25,15,-19,761,36,2017,0
26,19,-2,753,47,2017,1
27,23,17,723,52,2017,1
28,17,-16,767,42,2017,0
29,26,45,740,57,2017,1
30,12,-16,796,40,2017,0
