id,wins,diff,strength,points,year,playoffs
1,12,-32,724,30,2013,0
2,26,49,672,64,2013,1
3,20,6,710,47,2013,1
4,22,25,731,54,2013,1
5,23,28,733,55,2013,1
6,19,12,691,47,2013,1
7,19,10,726,46,2013,1
8,15,0,721,39,2013,0
9,13,-17,737,33,2013,0
10,21,21,696,56,2013,1
11,16,-31,706,33,2013,0
12,16,-18,753,35,2013,0
13,17,-24,752,35,2013,0
14,18,-2,734,45,2013,1
15,14,-6,721,39,2013,0
16,19,-19,704,40,2013,0
17,21,15,697,47,2013,1
18,23,15,724,46,2013,1
19,16,4,735,35,2013,0
20,14,-12,720,36,2013,0
21,10,-43,758,31,2013,0
22,28,37,695,62,2013,1
23,13,-14,726,32,2013,0
24,17,4,720,42,2013,1
25,11,-20,767,34,2013,0
26,17,12,755,44,2013,1
27,14,0,736,45,2013,1
28,19,-5,706,44,2013,0
29,18,2,691,45,2013,1
30,17,-4,697,41,2013,1
