id,team
1,Avalanche
2,Blackhawks
3,Blues
4,Bruins
5,Canadiens
6,Canucks
7,Capitals
8,Coyotes
9,Devils
10,Ducks
11,Flames
12,Flyers
13,Hurricanes
14,Islanders
15,Jackets
16,Jets
17,Kings
18,Knights
19,Leafs
20,Lightning
21,Oilers
22,Panthers
23,Penguins
24,Predators
25,Rangers
26,Sabres
27,Senators
28,Sharks
29,Stars
30,Wild
31,Wings
