id,wins,diff,strength,points,year,playoffs
1,12,-11,738,40,2015,0
2,22,39,693,55,2015,1
3,22,30,712,51,2015,1
4,18,-3,736,42,2015,0
5,21,16,711,54,2015,1
6,21,5,705,48,2015,1
7,21,18,712,49,2015,1
8,13,-39,758,34,2015,0
9,12,-27,707,29,2015,0
10,21,5,717,54,2015,1
11,18,9,703,44,2015,1
12,15,-12,723,34,2015,0
13,11,-23,721,27,2015,0
14,21,12,707,54,2015,1
15,14,-28,715,38,2015,0
16,18,4,755,44,2015,1
17,18,8,734,42,2015,0
18,18,4,684,44,2015,0
19,24,26,710,50,2015,1
20,8,-49,731,24,2015,0
21,15,-11,747,44,2015,0
22,23,24,694,53,2015,1
23,24,32,730,57,2015,1
24,22,23,694,48,2015,1
25,8,-62,724,30,2015,0
26,14,-3,710,38,2015,1
27,20,5,735,45,2015,0
28,16,-9,745,42,2015,0
29,16,-10,716,40,2015,1
30,21,13,736,46,2015,1
