id,wins,diff,strength,points,year,playoffs
1,24,16,728,53,2014,1
2,23,42,760,56,2014,1
3,25,55,710,61,2014,1
4,26,32,663,54,2014,1
5,20,9,705,47,2014,1
6,21,14,718,48,2014,0
7,12,2,735,42,2014,0
8,16,-4,721,45,2014,0
9,17,-6,653,36,2014,0
10,26,28,732,57,2014,1
11,11,-32,712,32,2014,0
12,17,-7,736,41,2014,1
13,15,-21,650,38,2014,0
14,9,-31,669,30,2014,0
15,16,-6,676,39,2014,1
16,13,-10,751,37,2014,0
17,19,27,751,52,2014,1
18,14,-3,692,41,2014,0
19,20,21,654,52,2014,1
20,11,-33,754,28,2014,0
21,11,-34,681,31,2014,0
22,26,36,672,59,2014,1
23,18,-25,721,38,2014,0
24,17,-13,686,41,2014,1
25,6,-45,699,25,2014,0
26,15,-19,700,34,2014,0
27,20,31,683,53,2014,1
28,17,-4,708,43,2014,1
29,15,-11,749,41,2014,1
30,17,-10,728,39,2014,1
