id,wins,diff,strength,points,year,playoffs
1,20,5,709,47,2010,1
2,24,44,680,56,2010,1
3,13,-13,731,37,2010,0
4,16,9,706,44,2010,1
5,15,-7,684,39,2010,1
6,22,27,723,48,2010,1
7,21,29,643,52,2010,1
8,21,16,750,51,2010,1
9,25,33,658,60,2010,1
10,14,-19,734,35,2010,0
11,22,16,732,50,2010,0
12,16,-1,689,39,2010,1
13,8,-44,720,25,2010,0
14,14,-27,721,35,2010,0
15,13,-29,755,30,2010,0
16,18,3,720,46,2010,1
17,13,-28,702,35,2010,0
18,15,-18,674,36,2010,0
19,12,-20,734,32,2010,0
20,11,-16,702,34,2010,0
21,20,23,689,53,2010,1
22,20,0,698,50,2010,1
23,17,-7,710,42,2010,0
24,24,19,668,54,2010,1
25,17,-6,679,43,2010,1
26,21,33,729,54,2010,1
27,16,-5,753,40,2010,0
28,15,-3,669,39,2010,0
29,17,-11,758,40,2010,0
30,18,4,739,45,2010,1
